Authors,Title,Publication_year,Publication,Country,Latitude,Longitude,Site_name,n_sites,Sampling_period,Sampling_frequency,Elevation_masl,MATemp_C,MAPrecip_mm,MAEvap_mm,Climate_zone,Mean_width_m,Mean_water_depth_m,Mean_velocity_m_s-1,Mean_discharge_m3_s-1,Instream vegetation?,Land_use,Soil_type,Nutrient_status,Hydrological_regime,GHG_sampling_method,g_CO2_m-2_yr-1,CH4_diffusive_g_CH4_m-2_yr-1,CH4_ebullitive_g_CH4_m-2_yr-1,g_N2O_m-2_yr-1,Flux_conversion_notes,DO_mg_L-1,pH,EC_us_cm-1,DOC_mg_L-1,TP_mg_L-1,TN_mg_L-1,Nitrate_mg_L,Chl-a_mg_L-1,Secchi_depth_m,Notes
"Dhandapani, S; Girkin, NT; Evers, S",Spatial variability of surface peat properties and carbon emissions in a tropical peatland oil palm monoculture during a dry season,2022,SOIL USE AND MANAGEMENT,Malaysia,3.42383,101.33692,Drainage ditch,1,August 2018,Once,17,26.8,1915,NA,Tropical,1,0.75,NA,NA,No,Agriculture,Organic (peatland),Eutrophic,Dry,Chamber,3807.16,0.11,NA,NA,Converted from mg CO2 m-2 h2-1 * 1e-3 mg to g * 24 h/d 8 365 d/y. Converted from ug CH4 m-2 hr-1 * 1e-6 ug to g * 24 h/d 8 365 d/y,NA,NA,NA,NA,NA,NA,NA,NA,NA,MAT data for Kuala Selangor from climate-data.org Only measured CO2/CH4 once in the dry season from dry ditches (not possible to accurately upscale to annual fluxes when wet season flowing canal data is not included)
"Smukler, SM; O'Geen, AT; Jackson, LE",Assessment of best management practices for nutrient cycling: A case study on an organic farm in a Mediterranean-type climate,2012,JOURNAL OF SOIL AND WATER CONSERVATION,USA,38.594117,-122.012631,Ditch,1,April 2005 to March 2007,Monthly,72,15.9,508,NA,Arid,NA,NA,NA,NA,NA,Agriculture,Mineral,NA,Dry,Chamber,4380.57,NA,NA,0.23,Converted from g CO2-C m-2 d-1 * 44.01/12.01 (conversion from CO2-C to CO2) * 365. Converted from mg CH4-C m-2 d-1 * ,NA,7.4,850.65,8.1,NA,NA,20.35,NA,NA,Only measured CO2/N2O from ditches when they were dry (no flowing measurements). MAT from Vacaville at climate-data.org
"Gallo, EL; Lohse, KA; Ferlin, CM; Meixner, T; Brooks, PD; ",Physical and biological controls on trace gas fluxes in semi-arid urban ephemeral waterways. ,2014,BIOGEOCHEMISTRY,USA,32.226812,110.887471,Sandy/sandy loam - Ephemeral urban washes,3,Summer,Once,5,21.7,310,270,Semi-arid,2,0,0 (dry),0 (dry),No,Urban,Mineral (assumed),NA,Dry,Chamber,678.93,0.24,NA,0.01,Converted from mg CO2-C m-2 h-1 *1e-3 (mg to g) * 44.01/12.01 (conversion factor from CO2-C to CO2) * 24 h/d * 365 d/y. ug N2O-N and CH4-C * 1e-6 * 44.01/28.01 (conersion factor from N2O-N to N2O) or 16.04/12.01 (conversion factor from CH4-C to CH4) * 24 h/d * 365 d/y,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Measured dry GHG emissions from ephemeral urban washes (look channelized) where surface flow occurs only in response to rainfall, along with simulated precipitation. Average rainfall event is 9.5mm. 310/9.5 = approx 33 precip events per year, but given that the precipitation induced GHG peaks are very short, I will not include them in the annual emission estimate. MAT for Tucson from climate-data.org"
"Gallo, EL; Lohse, KA; Ferlin, CM; Meixner, T; Brooks, PD; ",Physical and biological controls on trace gas fluxes in semi-arid urban ephemeral waterways. ,2014,BIOGEOCHEMISTRY,USA,32.226812,110.887471,Loam - Ephemeral urban washes,3,Summer,Once,5,21.7,310,270,Semi-arid,2,0,0 (dry),0 (dry),Yes ,Urban,Mineral (assumed),NA,Dry,Chamber,738.31,0.57,NA,0.04,Converted from mg CO2-C m-2 h-1 *1e-3 (mg to g) * 44.01/12.01 (conversion factor from CO2-C to CO2) * 24 h/d * 365 d/y. ug N2O-N and CH4-C * 1e-6 * 44.01/28.01 (conersion factor from N2O-N to N2O) or 16.04/12.01 (conversion factor from CH4-C to CH4) * 24 h/d * 365 d/y,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Photos shows short vegetation growing in dry stream bed. Measured dry GHG emissions from ephemeral urban washes (look channelized) where surface flow occurs only in response to rainfall, along with simulated precipitation. Average rainfall event is 9.5mm. 310/9.5 = approx 33 precip events per year, but given that the precipitation induced GHG peaks are very short, I will not include them in the annual emission estimate. MAT for Tucson from climate-data.org"
"Peacock, M; Granath, G; Wallin, MB; Högbom, L; Futter, MN",Significant Emissions From Forest Drainage Ditches-An Unaccounted Term in Anthropogenic Greenhouse Gas Inventories?,2021,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,Sweden,59.858056,17.644722,"Dry, mineral soil, no veg forest ditches",38,June 25 to August 21,Once,3,8.9,503,NA,Humid continental,1.07,0,NA,NA,No,Forest (plantation),Mineral,NA,Dry,Chamber,1224.1,0.07,NA,NA,Converted from mg of CO2/CH4 m-2 d-1  * 10e-3 * 190 day growing season in southern Sweden from from Sundh et al 2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,Weather data is for the sampling year (2020)
"Peacock, M; Granath, G; Wallin, MB; Högbom, L; Futter, MN",Significant Emissions From Forest Drainage Ditches-An Unaccounted Term in Anthropogenic Greenhouse Gas Inventories?,2021,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,Sweden,59.858056,17.644722,"Dry, mineral soil, vegetated forest ditches",18,June 25 to August 21,Once,3,8.9,503,NA,Humid continental,0.94,0,NA,NA,Yes,Forest (plantation),Mineral,NA,Dry,Chamber,599.7,-0.01,NA,NA,Converted from mg of CO2/CH4 m-2 d-1  * 10e-3 * 190 day growing season in southern Sweden from from Sundh et al 2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,Weather data is for the sampling year (2020)
"Peacock, M; Granath, G; Wallin, MB; Högbom, L; Futter, MN",Significant Emissions From Forest Drainage Ditches-An Unaccounted Term in Anthropogenic Greenhouse Gas Inventories?,2021,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,Sweden,59.858056,17.644722,"Dry, organic soil, no veg forest ditch",1,June 25 to August 21,Once,3,8.9,503,NA,Humid continental,0.9,0,NA,NA,No,Forest (plantation),Organic,NA,Dry,Chamber,338.17,-0.01,NA,NA,Converted from mg of CO2/CH4 m-2 d-1  * 10e-3 * 190 day growing season in southern Sweden from from Sundh et al 2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,Weather data is for the sampling year (2020)
"Peacock, M; Granath, G; Wallin, MB; Högbom, L; Futter, MN",Significant Emissions From Forest Drainage Ditches-An Unaccounted Term in Anthropogenic Greenhouse Gas Inventories?,2021,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,Sweden,59.858056,17.644722,"Dry, organic soil, vegetated forest ditch",1,June 25 to August 21,Once,3,8.9,503,NA,Humid continental,1.3,0,NA,NA,Yes,Forest (plantation),Organic,NA,Dry,Chamber,-24.87,-0.003,NA,NA,Converted from mg of CO2/CH4 m-2 d-1  * 10e-3 * 190 day growing season in southern Sweden from from Sundh et al 2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,Weather data is for the sampling year (2020)
"Vanags-Duka, M; Bardule, A; Butlers, A; Upenieks, EM; Lazdins, A; Purvina, D; Licite, I",GHG Emissions from Drainage Ditches in Peat Extraction Sites and Peatland Forests in Hemiboreal Latvia,2022,LAND,Latvia,56.94428533,25.45518867,Ditches (peatland extraction sites),6,March to December 2021,Monthly,177,6.8,685.6,NA,Hemiboreal,1.67,0.36,NA,NA,NA,Wetland,Organic (peat),Hypertrophic,Dry,Chamber,393.02,10.43,NA,NA,"Converted from mg CO2-C m-2 h-1 * 1e-3 (mg to g) * 44.01/12.01 (conversion from CO2-C to CO2) * 24 h/d * 304 days (growing season/frost-free period. Same for CH4-C, except using the conversion factor of 16.04/12.01",NA,5.57,74.47,108.93,NA,5.23,NA,NA,NA,Ditches were empty of water for most of the year. Include a comparison of dry vs water-filled ditch emissions. Coordinates/masl are an average of estimates from the provided map. 
"Vanags-Duka, M; Bardule, A; Butlers, A; Upenieks, EM; Lazdins, A; Purvina, D; Licite, I",GHG Emissions from Drainage Ditches in Peat Extraction Sites and Peatland Forests in Hemiboreal Latvia,2022,LAND,Latvia,57.0027775,25.1954165,Ditches (peatland forests),4,March to December 2021,Monthly,91,6.8,685.6,NA,Hemiboreal,2.39,0.0675,NA,NA,NA,Forest,Organic (peat),Hypertrophic,Dry,Chamber,3652.11,0.83,NA,NA,"Converted from mg CO2-C m-2 h-1 * 1e-3 (mg to g) * 44.01/12.01 (conversion from CO2-C to CO2) * 24 h/d * 304 days (growing season/frost-free period. Same for CH4-C, except using the conversion factor of 16.04/12.01",NA,6.25,178.5,75.25,NA,2.73,NA,NA,NA,Ditches were empty of water for most of the year. Include a comparison of dry vs water-filled ditch emissions. Coordinates/masl are an average of estimates from the provided map. 
